"","GO_Term_Description","Onto","FDR","sample_type"
"209","GO:0004553_hydrolase activity, hydrolyzing O-glycosyl compounds","GO Molecular Function",NA,"het"
"210","GO:0015291_secondary active transmembrane transporter activity","GO Molecular Function",NA,"het"
"211","GO:0022804_active transmembrane transporter activity","GO Molecular Function",NA,"het"
"212","GO:0016168_chlorophyll binding","GO Molecular Function",NA,"het"
"213","GO:0050660_flavin adenine dinucleotide binding","GO Molecular Function",NA,"het"
"214","GO:0042802_identical protein binding","GO Molecular Function",NA,"het"
"261","GO:0001071_nucleic acid binding transcription factor activity","GO Molecular Function",9.4e-06,"b73"
"262","GO:0003700_transcription factor activity, sequence-specific DNA binding","GO Molecular Function",9.4e-06,"b73"
"263","GO:0045548_phenylalanine ammonia-lyase activity","GO Molecular Function",0.00027,"b73"
"264","GO:0046914_transition metal ion binding","GO Molecular Function",0.013,"b73"
"265","GO:0016705_oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","GO Molecular Function",3.6e-05,"b73"
"266","GO:0005506_iron ion binding","GO Molecular Function",0.00042,"b73"
"267","GO:0004497_monooxygenase activity","GO Molecular Function",1.6e-05,"b73"
"268","GO:0016841_ammonia-lyase activity","GO Molecular Function",0.0013,"b73"
"269","GO:0046872_metal ion binding","GO Molecular Function",0.00027,"b73"
"270","GO:0043169_cation binding","GO Molecular Function",0.00027,"b73"
"271","GO:0003677_DNA binding","GO Molecular Function",0.0035,"b73"
"272","GO:0043167_ion binding","GO Molecular Function",0.00044,"b73"
"273","GO:0046906_tetrapyrrole binding","GO Molecular Function",1.6e-05,"b73"
"274","GO:0020037_heme binding","GO Molecular Function",0.00027,"b73"
"275","GO:0043565_sequence-specific DNA binding","GO Molecular Function",0.00044,"b73"
"276","GO:0004364_glutathione transferase activity","GO Molecular Function",7.9e-05,"b73"
"277","GO:0016491_oxidoreductase activity","GO Molecular Function",0.0013,"b73"
"278","GO:0010333_terpene synthase activity","GO Molecular Function",0.029,"b73"
"279","GO:0016765_transferase activity, transferring alkyl or aryl (other than methyl) groups","GO Molecular Function",0.0013,"b73"
"280","GO:0015238_drug transmembrane transporter activity","GO Molecular Function",NA,"b73"
"281","GO:0090484_drug transporter activity","GO Molecular Function",NA,"b73"
"282","GO:0016838_carbon-oxygen lyase activity, acting on phosphates","GO Molecular Function",0.047,"b73"
"283","GO:0016760_cellulose synthase (UDP-forming) activity","GO Molecular Function",0.013,"b73"
"284","GO:0016759_cellulose synthase activity","GO Molecular Function",0.013,"b73"
"285","GO:0005509_calcium ion binding","GO Molecular Function",0.0052,"b73"
"289","GO:0016758_transferase activity, transferring hexosyl groups","GO Molecular Function",0.015,"b73"
"290","GO:0052716_hydroquinone:oxygen oxidoreductase activity","GO Molecular Function",NA,"b73"
"291","GO:0016757_transferase activity, transferring glycosyl groups","GO Molecular Function",NA,"b73"
"292","GO:0016682_oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor","GO Molecular Function",0.029,"b73"
"293","GO:0016645_oxidoreductase activity, acting on the CH-NH group of donors","GO Molecular Function",NA,"b73"
"315","GO:0016798_hydrolase activity, acting on glycosyl bonds","GO Molecular Function",0.011,"b73"
"316","GO:0071949_FAD binding","GO Molecular Function",0.014,"b73"
"317","GO:0004553_hydrolase activity, hydrolyzing O-glycosyl compounds","GO Molecular Function",0.022,"b73"
"318","GO:0015291_secondary active transmembrane transporter activity","GO Molecular Function",0.024,"b73"
"319","GO:0022804_active transmembrane transporter activity","GO Molecular Function",0.026,"b73"
"320","GO:0016168_chlorophyll binding","GO Molecular Function",0.031,"b73"
"321","GO:0050660_flavin adenine dinucleotide binding","GO Molecular Function",0.041,"b73"
"322","GO:0042802_identical protein binding","GO Molecular Function",0.047,"b73"
